timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1767010664.7904043,2025-12-29T13:17:45.245828,Mandarine,0,0.0,0.0,518,15.38,48.86,14.3,62.24,947.84,283420
1767010666.7904952,2025-12-29T13:17:47.245854,Mandarine,0,0.0,0.0,517,15.36,48.84,14.3,62.21,947.84,61464
1767010668.7906013,2025-12-29T13:17:49.247573,Mandarine,0,0.0,0.0,516,15.36,48.9,14.31,62.14,947.83,72480
1767010670.7906766,2025-12-29T13:17:51.245909,Mandarine,0,0.0,0.0,516,15.34,48.91,14.33,61.99,947.83,81946
1767010672.7907548,2025-12-29T13:17:53.246036,Mandarine,0,0.0,0.0,516,15.34,48.92,14.34,61.89,947.84,90363
1767010674.7908728,2025-12-29T13:17:55.247748,Mandarine,0,0.0,0.0,515,15.31,48.92,14.34,61.8,947.83,97616
1767010676.7909482,2025-12-29T13:17:57.246214,Mandarine,0,0.0,0.0,515,15.31,48.95,14.35,61.73,947.82,102728
1767010678.7910247,2025-12-29T13:17:59.246298,Mandarine,0,0.0,0.0,514,15.3,48.93,14.35,61.64,947.82,106911
1767010680.7911315,2025-12-29T13:18:01.248006,Mandarine,0,0.0,0.0,514,15.3,48.95,14.35,61.59,947.82,110798
1767010682.7912092,2025-12-29T13:18:03.246576,Mandarine,0,0.0,0.0,514,15.29,48.97,14.35,61.56,947.82,113904
1767010684.7912881,2025-12-29T13:18:05.246738,Mandarine,0,0.0,0.0,514,15.29,49.0,14.35,61.5,947.83,116390
1767010686.7914283,2025-12-29T13:18:07.248291,Mandarine,0,0.0,0.0,513,15.26,49.01,14.35,61.43,947.82,119069
1767010688.7915072,2025-12-29T13:18:09.247555,Mandarine,0,0.76,-0.27,513,15.26,49.04,14.35,61.41,947.82,120669
1767010690.7915843,2025-12-29T13:18:11.247422,Mandarine,0,-0.98,-0.86,512,15.26,49.02,14.34,61.39,947.82,122137
1767010692.7916906,2025-12-29T13:18:13.248919,Mandarine,0,0.77,-0.18,512,15.26,49.05,14.34,61.36,947.82,123910
1767010694.7917676,2025-12-29T13:18:15.247566,Mandarine,0,-0.96,-0.17,511,15.22,49.06,14.34,61.35,947.82,125275
1767010696.791845,2025-12-29T13:18:17.100608,Mandarine,0,0.0,0.0,,,,14.33,61.34,947.81,126764
1767010698.7919533,2025-12-29T13:18:19.249139,Mandarine,0,-0.89,-0.75,510,15.22,49.07,14.33,61.33,947.81,127521
1767010700.7920308,2025-12-29T13:18:21.247774,Mandarine,0,-0.83,-0.69,509,15.19,49.1,14.32,61.31,947.81,129653
1767010702.7921114,2025-12-29T13:18:23.248002,Mandarine,0,0.88,-0.07,509,15.2,49.09,14.32,61.27,947.8,129751
1767010704.7922235,2025-12-29T13:18:25.249799,Mandarine,0,-0.83,-0.64,508,15.19,49.07,14.31,61.23,947.81,131147
1767010706.7923088,2025-12-29T13:18:27.248232,Mandarine,0,0.88,-0.03,508,15.19,49.1,14.31,61.31,947.82,132163
1767010708.7923892,2025-12-29T13:18:29.248202,Mandarine,0,0.83,-0.6,508,15.2,49.14,14.3,61.27,947.81,132987
1767010710.792504,2025-12-29T13:18:31.249761,Mandarine,0,-0.87,0.0,507,15.16,49.09,14.3,61.29,947.81,134772
1767010712.792583,2025-12-29T13:18:33.248369,Mandarine,0,0.83,-0.58,507,15.17,49.12,14.29,61.31,947.82,134559
1767010714.7926567,2025-12-29T13:18:35.248460,Mandarine,0,-0.87,0.02,506,15.16,49.13,14.29,61.3,947.83,135953
1767010716.7927752,2025-12-29T13:18:37.250139,Mandarine,0,0.83,-0.55,506,15.17,49.16,14.28,61.3,947.83,137044
1767010718.7928534,2025-12-29T13:18:39.248702,Mandarine,0,0.8,-0.53,506,15.17,49.16,14.27,61.3,947.84,136825
1767010720.792932,2025-12-29T13:18:41.248732,Mandarine,0,-0.9,0.07,505,15.13,49.19,14.27,61.29,947.83,136170
1767010722.7930617,2025-12-29T13:18:43.250437,Mandarine,0,0.8,-0.51,505,15.13,49.17,14.26,61.31,947.83,138042
1767010724.7931404,2025-12-29T13:18:45.249023,Mandarine,0,0.78,0.08,505,15.11,49.19,14.26,61.31,947.83,138603
1767010726.7932236,2025-12-29T13:18:47.249239,Mandarine,0,0.75,-0.5,505,15.11,49.2,14.25,61.3,947.83,139395
1767010728.7933338,2025-12-29T13:18:49.250769,Mandarine,0,0.73,-0.48,505,15.09,49.23,14.24,61.32,947.82,139852
1767010730.79341,2025-12-29T13:18:51.249220,Mandarine,0,0.71,0.11,505,15.07,49.25,14.24,61.28,947.82,140427
1767010732.7934887,2025-12-29T13:18:53.102277,Mandarine,0,0.0,0.0,,,,14.23,61.31,947.82,140659
1767010734.7936018,2025-12-29T13:18:55.250815,Mandarine,0,-1.0,-1.05,504,15.07,49.28,14.22,61.33,947.82,141358
1767010736.7936814,2025-12-29T13:18:57.249556,Mandarine,0,0.71,0.14,504,15.07,49.26,14.22,61.32,947.82,142420
1767010738.793764,2025-12-29T13:18:59.250300,Mandarine,0,0.7,-0.43,504,15.07,49.27,14.21,61.33,947.82,141946
1767010740.7938764,2025-12-29T13:19:01.251847,Mandarine,0,0.68,0.15,504,15.06,49.28,14.21,61.33,947.83,143377
1767010742.7939646,2025-12-29T13:19:03.250026,Mandarine,0,-1.04,-0.43,503,15.04,49.25,14.2,61.34,947.83,143377
1767010744.7940445,2025-12-29T13:19:05.249963,Mandarine,0,2.38,-0.41,504,15.04,49.3,14.19,61.34,947.81,143618
1767010746.7941473,2025-12-29T13:19:07.251370,Mandarine,0,-1.0,0.16,503,15.06,49.32,14.19,61.35,947.82,143497
1767010748.7942326,2025-12-29T13:19:09.250262,Mandarine,0,0.6,-0.41,503,15.04,49.34,14.18,61.36,947.82,144347
1767010750.7943103,2025-12-29T13:19:11.250224,Mandarine,0,-0.99,0.17,502,15.04,49.29,14.18,61.37,947.82,144714
1767010752.7944481,2025-12-29T13:19:13.251844,Mandarine,0,0.61,-0.41,502,15.03,49.33,14.17,61.38,947.82,145330
1767010754.7945259,2025-12-29T13:19:15.250325,Mandarine,0,-0.98,-0.4,501,15.0,49.32,14.16,61.39,947.82,146327
1767010756.79461,2025-12-29T13:19:17.250510,Mandarine,0,2.2,0.19,502,15.0,49.38,14.16,61.38,947.81,146077
1767010758.7947118,2025-12-29T13:19:19.251928,Mandarine,0,-2.45,-0.39,500,15.0,49.37,14.15,61.41,947.81,145827
1767010760.7947938,2025-12-29T13:19:21.250619,Mandarine,0,0.56,0.19,500,14.99,49.37,14.15,61.4,947.81,147084
1767010762.7948723,2025-12-29T13:19:23.250842,Mandarine,0,-0.86,-0.39,499,14.94,49.4,14.14,61.41,947.81,147465
1767010764.7949948,2025-12-29T13:19:25.252428,Mandarine,0,0.57,0.2,499,14.96,49.39,14.14,61.41,947.82,147848
1767010766.7950745,2025-12-29T13:19:27.103813,Mandarine,0,0.0,0.0,,,,14.13,61.41,947.81,148362
