timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1767034892.0673482,2025-12-29T20:01:32.523098,Mandarine,0,1.71,-0.03,398,13.43,53.42,10.84,72.83,948.29,67173
1767034894.0674603,2025-12-29T20:01:34.524638,Mandarine,0,-0.09,-0.55,398,13.41,53.4,10.84,72.83,948.29,69527
1767034896.0675423,2025-12-29T20:01:36.523294,Mandarine,0,-0.09,-0.52,398,13.43,53.4,10.84,72.81,948.28,71329
1767034898.0676093,2025-12-29T20:01:38.523313,Mandarine,0,-0.08,0.03,398,13.4,53.38,10.85,72.78,948.28,73226
1767034900.067717,2025-12-29T20:01:40.524580,Mandarine,0,-1.79,-0.5,397,13.43,53.41,10.85,72.73,948.29,74963
1767034902.0677965,2025-12-29T20:01:42.523536,Mandarine,0,1.61,-0.48,398,13.43,53.41,10.85,72.77,948.29,76992
1767034904.0678732,2025-12-29T20:01:44.523628,Mandarine,0,-0.07,0.07,398,13.41,53.41,10.86,72.74,948.28,78335
1767034906.0679917,2025-12-29T20:01:46.525384,Mandarine,0,1.5,-0.47,399,13.4,53.39,10.86,72.72,948.28,80250
1767034908.0680747,2025-12-29T20:01:48.523916,Mandarine,0,-0.12,-0.45,399,13.41,53.37,10.86,72.62,948.28,82024
1767034910.068138,2025-12-29T20:01:50.523921,Mandarine,0,-0.12,-0.43,399,13.43,53.42,10.86,72.66,948.28,83797
1767034912.068244,2025-12-29T20:01:52.525455,Mandarine,0,-0.12,0.12,399,13.43,53.4,10.87,72.68,948.28,84965
1767034914.0683284,2025-12-29T20:01:54.524240,Mandarine,0,-0.11,-0.42,399,13.44,53.38,10.87,72.65,948.28,87045
1767034916.068413,2025-12-29T20:01:56.524295,Mandarine,0,-1.72,-0.41,398,13.41,53.41,10.87,72.64,948.28,88489
1767034918.0685184,2025-12-29T20:01:58.525473,Mandarine,0,-0.05,-0.4,398,13.43,53.37,10.87,72.62,948.28,89793
1767034920.0686011,2025-12-29T20:02:00.524461,Mandarine,0,-1.62,0.16,397,13.43,53.41,10.88,72.62,948.28,90747
1767034922.0686755,2025-12-29T20:02:02.377372,Mandarine,0,0.0,0.0,,,,10.88,72.59,948.28,92720
1767034924.0687869,2025-12-29T20:02:04.617048,Mandarine,0,0.0,-0.39,397,13.41,53.39,10.88,72.59,948.28,93910
1767034926.0688634,2025-12-29T20:02:06.377619,Mandarine,0,0.0,0.0,,,,10.88,72.59,948.28,95754
1767034928.0689363,2025-12-29T20:02:08.524680,Mandarine,0,0.0,0.17,397,13.43,53.42,10.89,72.57,948.28,97172
1767034930.0690484,2025-12-29T20:02:10.525920,Mandarine,0,-1.56,-0.39,396,13.43,53.4,10.89,72.56,948.28,98178
1767034932.0691123,2025-12-29T20:02:12.524869,Mandarine,0,0.04,-0.38,396,13.44,53.4,10.89,72.56,948.28,99610
1767034934.069171,2025-12-29T20:02:14.524869,Mandarine,0,0.04,-0.37,396,13.43,53.35,10.89,72.54,948.28,100668
1767034936.0692935,2025-12-29T20:02:16.526617,Mandarine,0,-1.51,-0.36,395,13.43,53.37,10.89,72.53,948.28,101567
1767034938.069368,2025-12-29T20:02:18.525097,Mandarine,0,0.08,-0.35,395,13.43,53.37,10.89,72.52,948.28,102852
1767034940.0694444,2025-12-29T20:02:20.525219,Mandarine,0,0.08,0.21,395,13.41,53.39,10.9,72.52,948.27,103980
1767034942.0695488,2025-12-29T20:02:22.526823,Mandarine,0,-1.47,-0.35,394,13.43,53.42,10.9,72.5,948.28,104810
1767034944.0696256,2025-12-29T20:02:24.525475,Mandarine,0,1.63,-0.34,395,13.43,53.4,10.9,72.5,948.27,106180
1767034946.0697098,2025-12-29T20:02:26.525591,Mandarine,0,0.07,-0.33,395,13.41,53.36,10.9,72.49,948.27,106511
1767034948.0698242,2025-12-29T20:02:28.527168,Mandarine,0,-1.43,-0.33,394,13.44,53.4,10.9,72.47,948.27,107994
1767034950.0699084,2025-12-29T20:02:30.525815,Mandarine,0,0.1,-0.32,394,13.44,53.39,10.9,72.48,948.27,109028
1767034952.0699682,2025-12-29T20:02:32.525837,Mandarine,0,0.1,-0.31,394,13.44,53.4,10.9,72.48,948.28,109871
1767034954.0700533,2025-12-29T20:02:34.527157,Mandarine,0,0.1,0.26,394,13.44,53.4,10.91,72.48,948.27,110870
1767034956.0701354,2025-12-29T20:02:36.526070,Mandarine,0,0.1,-0.31,394,13.44,53.41,10.91,72.47,948.27,112182
1767034958.0702162,2025-12-29T20:02:38.378962,Mandarine,0,0.0,0.0,,,,10.91,72.46,948.28,112626
1767034960.070326,2025-12-29T20:02:40.527546,Mandarine,0,0.1,-0.31,394,13.44,53.41,10.91,72.45,948.27,113752
1767034962.0704033,2025-12-29T20:02:42.526429,Mandarine,0,0.09,-0.3,394,13.44,53.38,10.91,72.43,948.27,114362
1767034964.0704741,2025-12-29T20:02:44.526524,Mandarine,0,0.09,-0.3,394,13.44,53.4,10.91,72.43,948.27,115758
1767034966.070568,2025-12-29T20:02:46.527647,Mandarine,0,0.09,0.28,394,13.44,53.37,10.92,72.41,948.28,115837
1767034968.0706458,2025-12-29T20:02:48.526377,Mandarine,0,-1.49,-0.3,393,13.43,53.43,10.92,72.42,948.28,116469
1767034970.0707235,2025-12-29T20:02:50.526434,Mandarine,0,0.12,-0.29,393,13.41,53.4,10.92,72.43,948.28,117350
1767034972.0708282,2025-12-29T20:02:52.527689,Mandarine,0,0.12,-0.29,393,13.43,53.36,10.92,72.4,948.27,118655
1767034974.07091,2025-12-29T20:02:54.526717,Mandarine,0,0.11,-0.28,393,13.45,53.39,10.92,72.41,948.27,119319
1767034976.0709896,2025-12-29T20:02:56.526800,Mandarine,0,0.11,-0.28,393,13.43,53.36,10.92,72.4,948.28,120075
1767034978.071108,2025-12-29T20:02:58.528363,Mandarine,0,0.11,-0.27,393,13.44,53.38,10.92,72.41,948.28,120754
1767034980.0711868,2025-12-29T20:03:00.527007,Mandarine,0,0.11,-0.27,393,13.44,53.4,10.92,72.39,948.28,120925
1767034982.0712564,2025-12-29T20:03:02.527104,Mandarine,0,0.11,0.32,393,13.44,53.38,10.93,72.37,948.28,122224
1767034984.0713675,2025-12-29T20:03:04.528815,Mandarine,0,1.74,-0.27,394,13.41,53.4,10.93,72.37,948.28,122664
1767034986.0714407,2025-12-29T20:03:06.527293,Mandarine,0,0.11,-0.26,394,13.44,53.39,10.93,72.37,948.28,123373
1767034988.0715163,2025-12-29T20:03:08.527348,Mandarine,0,0.11,-0.24,394,13.45,53.39,10.93,72.35,948.28,123641
1767034990.0716248,2025-12-29T20:03:10.528916,Mandarine,0,0.11,-0.23,394,13.43,53.39,10.93,72.36,948.27,125000
1767034992.0716968,2025-12-29T20:03:12.527493,Mandarine,0,0.11,-0.22,394,13.43,53.37,10.93,72.36,948.28,125829
1767034994.071768,2025-12-29T20:03:14.380442,Mandarine,0,0.0,0.0,,,,10.93,72.36,948.29,125922
1767034996.071876,2025-12-29T20:03:16.529123,Mandarine,0,0.11,-0.21,394,13.45,53.41,10.93,72.35,948.28,126201
1767034998.0719497,2025-12-29T20:03:18.527687,Mandarine,0,0.11,-0.2,394,13.44,53.38,10.93,72.33,948.28,127047
1767035000.0720224,2025-12-29T20:03:20.527737,Mandarine,0,0.11,-0.18,394,13.44,53.38,10.93,72.35,948.27,127617
1767035002.0721247,2025-12-29T20:03:22.528960,Mandarine,0,0.08,-0.18,394,13.45,53.38,10.93,72.35,948.28,128385
1767035004.0721958,2025-12-29T20:03:24.527924,Mandarine,0,-1.59,0.52,393,13.43,53.4,10.94,72.34,948.28,129064
1767035006.072271,2025-12-29T20:03:26.528002,Mandarine,0,0.14,-0.17,393,13.45,53.4,10.94,72.33,948.27,129456
1767035008.0723767,2025-12-29T20:03:28.529537,Mandarine,0,1.84,-0.17,394,13.45,53.39,10.94,72.31,948.28,129850
1767035010.0724492,2025-12-29T20:03:30.528178,Mandarine,0,1.76,-0.16,395,13.44,53.39,10.94,72.31,948.27,130845
1767035012.0725138,2025-12-29T20:03:32.528325,Mandarine,0,-1.57,-0.15,394,13.47,53.4,10.94,72.3,948.28,130946
1767035014.0726094,2025-12-29T20:03:34.529588,Mandarine,0,0.08,-0.15,394,13.44,53.38,10.94,72.31,948.28,131450
1767035016.07269,2025-12-29T20:03:36.528548,Mandarine,0,0.08,0.57,394,13.47,53.37,10.95,72.3,948.28,132265
1767035018.072755,2025-12-29T20:03:38.528565,Mandarine,0,1.67,-0.15,395,13.45,53.39,10.95,72.31,948.27,132368
1767035020.0728726,2025-12-29T20:03:40.530127,Mandarine,0,0.05,-0.14,395,13.45,53.4,10.95,72.29,948.27,132987
1767035022.0729518,2025-12-29T20:03:42.528778,Mandarine,0,0.08,-0.13,395,13.47,53.38,10.95,72.3,948.27,133298
1767035024.0730214,2025-12-29T20:03:44.528867,Mandarine,0,0.08,-0.13,395,13.45,53.41,10.95,72.28,948.27,134878
1767035026.0731323,2025-12-29T20:03:46.530393,Mandarine,0,-1.51,-0.13,394,13.44,53.38,10.95,72.29,948.27,134985
1767035028.0732121,2025-12-29T20:03:48.529042,Mandarine,0,0.1,-0.12,394,13.45,53.4,10.95,72.27,948.27,134772
1767035030.073285,2025-12-29T20:03:50.381977,Mandarine,0,0.0,0.0,,,,10.95,72.27,948.27,135199
1767035032.0733912,2025-12-29T20:03:52.530647,Mandarine,0,0.08,-0.12,394,13.47,53.39,10.95,72.28,948.27,135737
1767035034.073458,2025-12-29T20:03:54.529196,Mandarine,0,1.74,-0.12,395,13.47,53.41,10.95,72.28,948.27,135629
