timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1766974303.0328965,2025-12-29T03:11:43.488712,Raum,0,0.98,0.14,2046,25.93,45.08,23.2,53.79,948.97,121528
1766974305.0331178,2025-12-29T03:11:45.488961,Raum,0,-0.03,-0.44,2046,25.95,45.08,23.2,53.69,948.98,120159
1766974307.0332453,2025-12-29T03:11:47.490482,Raum,0,0.96,-0.42,2048,25.95,45.11,23.2,53.74,948.98,121962
1766974309.0333352,2025-12-29T03:11:49.489161,Raum,0,0.93,-0.41,2050,25.92,45.06,23.2,53.68,948.97,122050
1766974311.0334342,2025-12-29T03:11:51.489277,Raum,0,0.9,0.18,2052,25.91,45.16,23.21,53.67,948.98,122576
1766974313.033623,2025-12-29T03:11:53.490711,Raum,0,0.88,-0.41,2054,25.88,45.17,23.21,53.68,948.97,121528
1766974315.0337389,2025-12-29T03:11:55.489590,Raum,0,-0.15,-0.39,2054,25.88,45.24,23.21,53.66,948.97,122840
1766974317.033822,2025-12-29T03:11:57.489698,Raum,0,-0.65,-0.38,2053,25.88,45.21,23.21,53.65,948.98,122840
1766974319.033942,2025-12-29T03:11:59.491264,Raum,0,0.38,0.21,2054,25.88,45.29,23.22,53.66,948.98,124543
1766974321.0341067,2025-12-29T03:12:01.489955,Raum,0,-0.14,-0.38,2054,25.92,45.28,23.22,53.67,948.98,123284
1766974323.034261,2025-12-29T03:12:03.490058,Raum,0,-1.18,-0.37,2052,25.93,45.3,23.22,53.64,948.98,123373
1766974325.0343916,2025-12-29T03:12:05.344150,Raum,0,0.0,0.0,,,,23.22,53.66,948.98,125459
1766974327.034473,2025-12-29T03:12:07.490184,Raum,0,-1.66,-0.36,2049,25.95,45.33,23.22,53.66,948.98,125275
1766974329.0345583,2025-12-29T03:12:09.490278,Raum,0,-2.09,-0.35,2045,25.93,45.27,23.22,53.68,948.98,124091
1766974331.0347698,2025-12-29T03:12:11.491766,Raum,0,0.47,0.24,2046,25.95,45.24,23.23,53.66,948.98,124817
1766974333.034852,2025-12-29T03:12:13.490588,Raum,0,0.96,-0.35,2048,25.91,45.2,23.23,53.64,948.98,126576
1766974335.0349464,2025-12-29T03:12:15.490742,Raum,0,0.94,-0.34,2050,25.91,45.18,23.23,53.62,948.99,125091
1766974337.0350585,2025-12-29T03:12:17.492096,Raum,0,-0.07,-0.34,2050,25.91,45.18,23.23,53.6,948.98,124908
1766974339.0351372,2025-12-29T03:12:19.490858,Raum,0,-1.06,-0.33,2048,25.92,45.2,23.23,53.59,948.98,125829
1766974341.0352268,2025-12-29T03:12:21.490982,Raum,0,-0.54,-0.32,2047,25.91,45.18,23.23,53.6,948.98,125551
1766974343.0353482,2025-12-29T03:12:23.492336,Raum,0,-0.53,-0.32,2046,25.92,45.21,23.23,53.49,948.98,125922
1766974345.0354393,2025-12-29T03:12:25.491298,Raum,0,-0.02,-0.31,2046,25.88,45.25,23.23,53.56,948.98,127047
1766974347.0355418,2025-12-29T03:12:27.491456,Raum,0,-0.02,0.29,2046,25.88,45.29,23.24,53.57,948.99,126201
1766974349.0356712,2025-12-29T03:12:29.492998,Raum,0,-0.02,-0.31,2046,25.85,45.32,23.24,53.55,948.99,125736
1766974351.0358057,2025-12-29T03:12:31.491712,Raum,0,-0.02,-0.31,2046,25.84,45.31,23.24,53.54,948.99,126388
1766974353.0358932,2025-12-29T03:12:33.491781,Raum,0,-0.02,-0.3,2046,25.88,45.34,23.24,53.54,949.0,126015
1766974355.036018,2025-12-29T03:12:35.493284,Raum,0,-0.55,-0.3,2045,25.89,45.33,23.24,53.53,949.0,126388
1766974357.0361326,2025-12-29T03:12:37.492047,Raum,0,-1.6,-0.29,2042,25.88,45.35,23.24,53.53,949.0,128675
1766974359.0362747,2025-12-29T03:12:39.492085,Raum,0,0.02,-0.29,2042,25.89,45.3,23.24,53.52,949.0,127047
1766974361.0363994,2025-12-29T03:12:41.493729,Raum,0,0.54,-0.28,2043,25.89,45.32,23.24,53.53,949.01,126952
1766974363.0365465,2025-12-29T03:12:43.492356,Raum,0,2.12,-0.28,2047,25.86,45.24,23.24,53.53,949.0,127617
1766974365.0366805,2025-12-29T03:12:45.345451,Raum,0,0.0,0.0,,,,23.24,53.53,948.99,128967
1766974367.0368261,2025-12-29T03:12:47.584824,Raum,0,1.0,0.33,2049,25.86,45.29,23.25,53.52,948.99,128675
1766974369.0369453,2025-12-29T03:12:49.345667,Raum,0,0.0,0.0,,,,23.25,53.52,948.99,127426
1766974371.0370326,2025-12-29T03:12:51.492775,Raum,0,2.52,-0.28,2054,25.85,45.31,23.25,53.52,948.99,128967
1766974373.0371387,2025-12-29T03:12:53.494118,Raum,0,1.39,-0.27,2057,25.85,45.31,23.25,53.52,948.99,127808
1766974375.0372355,2025-12-29T03:12:55.492980,Raum,0,0.4,-0.26,2058,25.82,45.37,23.25,53.53,948.99,127808
1766974377.0373242,2025-12-29T03:12:57.493086,Raum,0,1.35,0.42,2061,25.81,45.38,23.26,53.5,949.0,128967
1766974379.0374475,2025-12-29T03:12:59.494473,Raum,0,0.83,-0.24,2063,25.78,45.42,23.26,53.49,949.0,129751
1766974381.0375323,2025-12-29T03:13:01.493274,Raum,0,0.31,-0.23,2064,25.79,45.46,23.26,53.52,949.0,127712
1766974383.0376165,2025-12-29T03:13:03.493346,Raum,0,0.81,-0.22,2066,25.78,45.47,23.26,53.5,949.0,127904
1766974385.0377758,2025-12-29T03:13:05.494793,Raum,0,-0.8,-0.21,2065,25.78,45.52,23.26,53.52,949.0,128578
1766974387.0378878,2025-12-29T03:13:07.493717,Raum,0,-0.79,-0.2,2064,25.79,45.46,23.26,53.49,949.0,128772
1766974389.0379927,2025-12-29T03:13:09.493917,Raum,0,0.25,-0.18,2065,25.75,45.49,23.26,53.51,948.99,128288
1766974391.0381377,2025-12-29T03:13:11.495502,Raum,0,-0.83,-0.17,2064,25.76,45.49,23.26,53.49,948.99,128772
1766974393.0382214,2025-12-29T03:13:13.494035,Raum,0,0.27,-0.16,2065,25.75,45.49,23.26,53.48,948.99,128385
1766974395.038319,2025-12-29T03:13:15.494158,Raum,0,-0.81,-0.15,2064,25.76,45.49,23.26,53.47,948.98,128578
1766974397.0384378,2025-12-29T03:13:17.495768,Raum,0,-1.34,-0.15,2062,25.75,45.49,23.26,53.47,948.98,129064
1766974399.038515,2025-12-29T03:13:19.494341,Raum,0,0.31,0.57,2063,25.74,45.51,23.27,53.44,948.98,129260
1766974401.0386312,2025-12-29T03:13:21.494546,Raum,0,-0.75,-0.86,2062,25.76,45.49,23.26,53.46,948.99,129653
1766974403.0387385,2025-12-29T03:13:23.495765,Raum,0,-0.19,0.56,2062,25.79,45.52,23.27,53.46,948.99,128675
1766974405.038832,2025-12-29T03:13:25.494734,Raum,0,0.36,-0.14,2063,25.76,45.44,23.27,53.46,948.99,128967
1766974407.0389183,2025-12-29T03:13:27.347620,Raum,0,0.0,0.0,,,,23.27,53.44,948.99,130346
1766974409.0390441,2025-12-29T03:13:29.496216,Raum,0,-0.71,-0.14,2062,25.76,45.48,23.27,53.46,948.99,129653
1766974411.0391257,2025-12-29T03:13:31.494816,Raum,0,-1.25,-0.13,2060,25.74,45.5,23.27,53.46,948.99,129653
1766974413.0392075,2025-12-29T03:13:33.494941,Raum,0,-1.25,-0.13,2058,25.78,45.53,23.27,53.44,948.99,131653
1766974415.0393286,2025-12-29T03:13:35.496578,Raum,0,-0.7,-0.12,2057,25.79,45.52,23.27,53.48,949.0,129554
1766974417.0394342,2025-12-29T03:13:37.495138,Raum,0,1.47,-0.12,2060,25.79,45.52,23.27,53.46,949.0,130445
1766974419.039521,2025-12-29T03:13:39.495236,Raum,0,0.33,0.59,2061,25.76,45.48,23.28,53.46,949.0,131147
1766974421.0396564,2025-12-29T03:13:41.496874,Raum,0,-0.21,-0.12,2061,25.75,45.52,23.28,53.46,949.0,129064
1766974423.0397356,2025-12-29T03:13:43.495499,Raum,0,-0.21,-0.12,2061,25.74,45.54,23.28,53.46,948.99,129751
1766974425.0398395,2025-12-29T03:13:45.495592,Raum,0,-0.74,-0.12,2060,25.74,45.56,23.28,53.46,949.0,131755
1766974427.03995,2025-12-29T03:13:47.497036,Raum,0,-1.8,-0.11,2057,25.75,45.57,23.28,53.48,949.0,129850
1766974429.0400326,2025-12-29T03:13:49.495823,Raum,0,-0.66,-0.11,2056,25.75,45.56,23.28,53.48,949.0,129751
1766974431.0401223,2025-12-29T03:13:51.495929,Raum,0,-0.64,-0.11,2055,25.72,45.54,23.28,53.54,949.0,129850
1766974433.040257,2025-12-29T03:13:53.497489,Raum,0,-1.14,-0.1,2053,25.72,45.58,23.28,53.47,948.99,131248
1766974435.0403435,2025-12-29T03:13:55.496176,Raum,0,-1.11,-0.1,2051,25.74,45.56,23.28,53.47,948.99,131653
1766974437.0404258,2025-12-29T03:13:57.496229,Raum,0,-0.03,-0.1,2051,25.74,45.59,23.28,53.47,948.99,130645
1766974439.0405385,2025-12-29T03:13:59.497810,Raum,0,-0.01,-0.1,2051,25.74,45.58,23.28,53.46,948.99,131653
1766974441.0406187,2025-12-29T03:14:01.496402,Raum,0,1.62,-0.09,2054,25.72,45.59,23.28,53.46,949.0,130645
1766974443.040701,2025-12-29T03:14:03.496522,Raum,0,0.0,-0.09,2054,25.71,45.64,23.28,53.47,949.0,131755
1766974445.0408175,2025-12-29T03:14:05.497746,Raum,0,-0.53,-0.09,2053,25.69,45.61,23.28,53.45,948.99,130845
1766974447.040898,2025-12-29T03:14:07.349577,Raum,0,0.0,0.0,,,,23.28,53.46,948.99,130445
1766974449.0409813,2025-12-29T03:14:09.587508,Raum,0,0.0,-0.09,2053,25.68,45.65,23.28,53.44,948.99,130445
1766974451.0410886,2025-12-29T03:14:11.351168,Raum,0,0.0,0.0,,,,23.28,53.43,949.0,132883
1766974453.0411682,2025-12-29T03:14:13.496886,Raum,0,-0.52,-0.07,2052,25.66,45.66,23.28,53.42,948.99,131147
1766974455.0412529,2025-12-29T03:14:15.496985,Raum,0,0.02,-0.07,2052,25.65,45.69,23.28,53.42,948.99,132265
1766974457.0413644,2025-12-29T03:14:17.498489,Raum,0,0.0,-0.07,2052,25.66,45.68,23.28,53.43,948.99,132883
1766974459.0414457,2025-12-29T03:14:19.497188,Raum,0,-0.03,-0.07,2052,25.65,45.7,23.28,53.41,949.0,130745
1766974461.0415275,2025-12-29T03:14:21.497281,Raum,0,-0.07,-0.07,2052,25.68,45.72,23.28,53.41,949.0,132780
1766974463.0416358,2025-12-29T03:14:23.498867,Raum,0,0.52,0.69,2053,25.68,45.73,23.29,53.42,948.99,130246
1766974465.0417163,2025-12-29T03:14:25.497433,Raum,0,0.53,-0.07,2054,25.66,45.69,23.29,53.41,948.99,130745
1766974467.041792,2025-12-29T03:14:27.497597,Raum,0,0.55,-0.07,2055,25.68,45.65,23.29,53.43,948.99,130545
1766974469.0418985,2025-12-29T03:14:29.498818,Raum,0,-0.63,-0.07,2054,25.71,45.7,23.29,53.41,949.0,132060
1766974471.0419757,2025-12-29T03:14:31.497772,Raum,0,-0.65,-0.07,2053,25.75,45.72,23.29,53.4,948.99,130645
1766974473.0420566,2025-12-29T03:14:33.497890,Raum,0,-0.06,-0.07,2053,25.76,45.66,23.29,53.42,948.99,131046
1766974475.0421903,2025-12-29T03:14:35.499596,Raum,0,-0.66,-0.07,2052,25.79,45.6,23.29,53.42,948.99,132470
1766974477.0422688,2025-12-29T03:14:37.498064,Raum,0,-1.24,0.67,2050,25.81,45.51,23.3,53.4,948.99,132573
1766974479.042351,2025-12-29T03:14:39.498183,Raum,0,-0.62,-0.07,2049,25.81,45.47,23.3,53.4,948.99,131958
1766974481.0424595,2025-12-29T03:14:41.499640,Raum,0,-0.03,0.67,2049,25.84,45.45,23.31,53.39,949.0,130745
1766974483.042537,2025-12-29T03:14:43.498316,Raum,0,0.55,-0.09,2050,25.82,45.41,23.31,53.38,949.0,132163
1766974485.0426228,2025-12-29T03:14:45.498430,Raum,0,0.54,0.65,2051,25.81,45.46,23.32,53.37,949.0,131856
1766974487.0427287,2025-12-29T03:14:47.499546,Raum,0,-0.06,-0.1,2051,25.81,45.45,23.32,53.34,949.0,131248
1766974489.0428157,2025-12-29T03:14:49.351523,Raum,0,0.0,0.0,,,,23.32,53.36,949.0,132780
1766974491.0428941,2025-12-29T03:14:51.589401,Raum,0,-0.09,-0.1,2051,25.84,45.46,23.32,53.36,949.0,131551
1766974493.0430002,2025-12-29T03:14:53.352916,Raum,0,0.0,0.0,,,,23.32,53.34,948.99,131248
1766974495.0430794,2025-12-29T03:14:55.498790,Raum,0,-2.47,-0.1,2047,25.85,45.43,23.32,53.35,949.0,131349
1766974497.0431604,2025-12-29T03:14:57.498860,Raum,0,-1.17,-0.1,2045,25.86,45.42,23.32,53.35,949.0,131349
1766974499.0432825,2025-12-29T03:14:59.500367,Raum,1,-4.09,-0.1,2038,25.91,45.39,23.32,53.37,949.01,132780
1766974501.043361,2025-12-29T03:15:01.499060,Raum,0,0.61,-0.1,2039,25.93,45.38,23.32,53.38,949.01,132470
1766974503.0434413,2025-12-29T03:15:03.499170,Raum,0,1.22,-0.09,2041,25.95,45.37,23.32,53.37,949.0,131653
1766974505.043564,2025-12-29T03:15:05.500859,Raum,0,3.25,-0.09,2046,25.96,45.31,23.32,53.38,949.0,132987
1766974507.043638,2025-12-29T03:15:07.499348,Raum,0,7.28,-0.09,2058,25.98,45.28,23.32,53.4,949.0,131653
1766974509.0437047,2025-12-29T03:15:09.499447,Raum,0,3.0,-0.09,2065,25.96,45.22,23.32,53.38,948.99,132470
1766974511.0438316,2025-12-29T03:15:11.501032,Raum,0,4.85,-0.07,2077,25.95,45.21,23.32,53.39,948.99,131147
1766974513.0439105,2025-12-29T03:15:13.499701,Raum,0,4.4,-0.81,2090,25.96,45.18,23.31,53.39,948.99,132883
1766974515.0439923,2025-12-29T03:15:15.499825,Raum,0,0.14,-0.06,2091,25.96,45.16,23.31,53.39,949.0,133402
1766974517.044105,2025-12-29T03:15:17.501480,Raum,0,-1.67,-0.06,2086,25.95,45.18,23.31,53.38,949.0,133090
1766974519.0441675,2025-12-29T03:15:19.499966,Raum,0,-1.03,-0.06,2083,25.96,45.19,23.31,53.39,949.0,131046
1766974521.0442512,2025-12-29T03:15:21.500057,Raum,0,-1.3,-0.06,2079,25.93,45.2,23.31,53.37,948.99,131551
1766974523.044362,2025-12-29T03:15:23.501666,Raum,0,0.48,-0.06,2081,25.92,45.25,23.31,53.39,948.99,132780
