timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1768063009.1773183,2026-01-10 17:36:49.352322,MandarineGANZ,0,1.49,1.65,513.0,13.17,65.19,,,,
1768063011.1774316,2026-01-10 17:36:51.353954,MandarineGANZ,0,-0.08,-1.5,513.0,13.15,65.11,,,,
1768063013.1775148,2026-01-10 17:36:53.352552,MandarineGANZ,0,-0.08,0.01,513.0,13.15,64.81,,,,
1768063015.1775906,2026-01-10 17:36:55.465179,MandarineGANZ,0,-3.1,-217.29,511.0,13.14,64.59,10.09,84.97,937.24,9837286.0
1768063017.1777031,2026-01-10 17:36:57.466600,MandarineGANZ,1,-4.2,0.15,508.0,13.13,64.49,10.1,84.95,937.24,9872853.0
1768063019.177786,2026-01-10 17:36:59.465258,MandarineGANZ,0,5.54,0.13,512.0,13.11,64.16,10.1,84.94,937.24,9846153.0
1768063021.1778617,2026-01-10 17:37:01.465318,MandarineGANZ,0,12.1,0.15,523.0,13.23,63.94,10.11,84.9,937.23,9837286.0
1768063023.177978,2026-01-10 17:37:03.354520,MandarineGANZ,1,23.85,8.07,564.0,13.3,63.6,,,,
1768063025.1780524,2026-01-10 17:37:05.353299,MandarineGANZ,0,61.89,0.15,670.0,13.31,63.51,,,,
1768063027.1781116,2026-01-10 17:37:07.353191,MandarineGANZ,1,-9.47,0.23,542.0,13.35,63.62,,,,
1768063029.1782107,2026-01-10 17:37:09.354718,MandarineGANZ,1,-7.87,0.08,436.0,13.33,63.6,,,,
1768063031.1782937,2026-01-10 17:37:11.206247,MandarineGANZ,0,0.0,0.0,,,,,,,
1768063033.1783683,2026-01-10 17:37:13.353344,MandarineGANZ,0,-1.31,0.18,420.0,13.35,63.73,,,,
1768063035.1784654,2026-01-10 17:37:15.354995,MandarineGANZ,0,0.66,0.03,431.0,13.31,63.66,,,,
1768063037.178548,2026-01-10 17:37:17.353567,MandarineGANZ,0,-1.43,0.13,413.0,13.31,63.51,,,,
1768063039.1786242,2026-01-10 17:37:19.353652,MandarineGANZ,0,-0.54,0.03,407.0,13.27,62.94,,,,
1768063041.1787372,2026-01-10 17:37:21.355248,MandarineGANZ,0,-1.02,0.03,394.0,13.23,62.5,,,,
1768063043.1788228,2026-01-10 17:37:23.466223,MandarineGANZ,0,-1.35,-7.44,376.0,13.23,62.23,10.19,84.88,937.25,9793185.0
1768063045.1789024,2026-01-10 17:37:25.466433,MandarineGANZ,0,0.27,0.19,381.0,13.2,62.49,10.19,84.94,937.24,9819598.0
1768063047.179026,2026-01-10 17:37:27.467785,MandarineGANZ,0,0.4,0.2,388.0,13.18,62.73,10.2,85.0,937.24,9793185.0
